SR. NO.,District,Taluka,Village Name
274,Osmanabad,Osmnabad,Yevati
275,Osmanabad,Osmnabad,Mahalangi
276,Osmanabad,Osmnabad,Borgaon Raje
277,Osmanabad,Osmnabad,Chikhali
278,Osmanabad,Osmnabad,Sarola Bk.
279,Osmanabad,Osmnabad,Balpirwadi
280,Osmanabad,Osmnabad,Ansurda
281,Osmanabad,Osmnabad,Goadgaon
282,Osmanabad,Osmnabad,Medsainga
283,Osmanabad,Osmnabad,Brmgaon Kh.
284,Osmanabad,Osmnabad,Boarkheda
285,Osmanabad,Osmnabad,Bhandari
286,Osmanabad,Osmnabad,Nandurga
287,Osmanabad,Osmnabad,Dharur
288,Osmanabad,Osmnabad,Khamswadi
289,Osmanabad,Osmnabad,Uttmi Kayapur
290,Osmanabad,Osmnabad,Karjkheda
291,Osmanabad,Osmnabad,Toranba
292,Osmanabad,Osmnabad,Wadi Bamni
293,Osmanabad,Osmnabad,Umregavan
294,Osmanabad,Osmnabad,Patoda
295,Osmanabad,Osmnabad,Bamani
296,Osmanabad,Osmnabad,Gogaon
297,Osmanabad,Osmnabad,Barmgaon Kh.
298,Osmanabad,Osmnabad,Bhandarwadi
299,Osmanabad,Osmnabad,Duckwadi
300,Osmanabad,Osmnabad,Mulewadi
301,Osmanabad,Osmnabad,Kaudgaon
302,Osmanabad,Osmnabad,Dhoki
303,Osmanabad,Osmnabad,Bhandrwadi
304,Osmanabad,Osmnabad,Kavalewadi
305,Osmanabad,Osmnabad,Gorewadi
306,Osmanabad,Osmnabad,Tugaon
307,Osmanabad,Osmnabad,Kini
308,Osmanabad,Osmnabad,Gopalwadi
309,Osmanabad,Osmnabad,Palsup
310,Osmanabad,Osmnabad,Mohtarwadi
311,Osmanabad,Osmnabad,Sumbha
312,Osmanabad,Osmnabad,Tavarjkheda
313,Osmanabad,Osmnabad,Panwadi
314,Osmanabad,Tuljapur,Naldurga
315,Osmanabad,Tuljapur,Ramtirtha
316,Osmanabad,Tuljapur,Manewadi
317,Osmanabad,Tuljapur,Aaliyabad
318,Osmanabad,Tuljapur,Yedola
319,Osmanabad,Tuljapur,Annur
320,Osmanabad,Tuljapur,Phulwadi
321,Osmanabad,Tuljapur,Dhangarwadi
322,Osmanabad,Tuljapur,Khudawadi
323,Osmanabad,Tuljapur,Wagdari
324,Osmanabad,Tuljapur,Sarati
325,Osmanabad,Tuljapur,Horti
326,Osmanabad,Tuljapur,Muta
327,Osmanabad,Tuljapur,Chivari
328,Osmanabad,Tuljapur,Umrga Chi.
329,Osmanabad,Tuljapur,Aarli Bu.
330,Osmanabad,Tuljapur,Aarli Kh.
331,Osmanabad,Tuljapur,Chincholi
332,Osmanabad,Tuljapur,Basvantwadi
333,Osmanabad,Tuljapur,Jalkot
334,Osmanabad,Tuljapur,Jalkotwadi Nal
335,Osmanabad,Tuljapur,Hangrga Nal
336,Osmanabad,Tuljapur,Borgaon
337,Osmanabad,Tuljapur,Indiranagar
338,Osmanabad,Tuljapur,Lohagaon
339,Osmanabad,Tuljapur,Sindgaon
340,Osmanabad,Tuljapur,Salgara M.
341,Osmanabad,Tuljapur,Bolegaon
342,Osmanabad,Tuljapur,Kunsavali
343,Osmanabad,Tuljapur,Nandgaon
344,Osmanabad,Tuljapur,Shahapur
345,Osmanabad,Tuljapur,Gunjur
346,Osmanabad,Tuljapur,Dahitana
347,Osmanabad,Tuljapur,Gulhalli
348,Osmanabad,Tuljapur,Itkal
349,Osmanabad,Tuljapur,Khanapur
350,Osmanabad,Tuljapur,Tailrnagar
351,Osmanabad,Tuljapur,Katgaon
352,Osmanabad,Tuljapur,Dhotri
353,Osmanabad,Tuljapur,Khadki
354,Osmanabad,Tuljapur,Nilegaon
355,Osmanabad,Tuljapur,Deosinga Nal
356,Osmanabad,Tuljapur,Keshegaon
357,Osmanabad,Tuljapur,Babhalgaon
358,Osmanabad,Tuljapur,Kerur
359,Osmanabad,Tuljapur,Shirgapur
360,Osmanabad,Tuljapur,Yevati
361,Osmanabad,Tuljapur,Kalegaon
362,Osmanabad,Tuljapur,Dindegaon
363,Osmanabad,Tuljapur,Hipprga
364,Osmanabad,Tuljapur,Aarbali
365,Osmanabad,Tuljapur,Kumbhari
366,Osmanabad,Tuljapur,Dhanegaon
367,Osmanabad,Tuljapur,Raikhel
368,Osmanabad,Tuljapur,Sarola
369,Osmanabad,Tuljapur,Deokurlli
370,Osmanabad,Tuljapur,Korewadi
371,Osmanabad,Tuljapur,Mangrual
372,Osmanabad,Tuljapur,Sardewadi
373,Osmanabad,Tuljapur,Bhatmbri
374,Osmanabad,Tuljapur,Sangvi Kati
375,Osmanabad,Tuljapur,Nanduri
376,Osmanabad,Tuljapur,Kasai
377,Osmanabad,Tuljapur,Yemagarwadi
378,Osmanabad,Tuljapur,Malumbra
379,Osmanabad,Tuljapur,Kadamwadi
380,Osmanabad,Tuljapur,Goandalwadi
381,Osmanabad,Tuljapur,Savargaon
382,Osmanabad,Tuljapur,Tamalwadi
383,Osmanabad,Tuljapur,Pimpala Bu
384,Osmanabad,Tuljapur,Pimpala Kh
385,Osmanabad,Tuljapur,Massla Kh.
386,Osmanabad,Tuljapur,Dahiwadi
387,Osmanabad,Tuljapur,Kemwadi
388,Osmanabad,Tuljapur,Kati
